Année;Perimètre juridique;Perimètre spatial;Indicateur;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;E;Homme;3272.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;G;Femme;2154.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;I;Femme;0.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Heures de formation;;C;Homme;315091.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;F;Femme;76495.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;G;Homme;652131.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;H;Homme;229163.0;Heures;§5.1.4 bis
2022;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;;;Homme;0.0;Nombre;§5.2.2
2022;EDF SA;France;Contrats d'apprentissage conclus dans l'année;;;Homme;1217.0;Nombre;§5.3.1
2022;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Homme;15236.0;Nombre;§5.1.3
2022;EDF SA;France;Salariés ayant suivi au moins un stage;Maitrise;;Homme;18289.0;Nombre;§5.1.3
2022;EDF SA;France;Salariés ayant suivi au moins un stage;Exécution;;Femme;1323.0;Nombre;§5.1.3
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Homme;933.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;I;Homme;0.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;Sans plage;Femme;1473.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Heures de formation;Maitrise;;;1663022.0;Heures;§5.1.4
2022;EDF SA;France;Heures de formation;Exécution;;;351256.0;Heures;§5.1.4
2022;EDF SA;France;Heures de formation;;;Homme;2449570.0;Heures;§5.1.4
2022;EDF SA;France;Heures de formation;;A;Homme;20226.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;A;Femme;9960.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;C;Femme;117524.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;I;Femme;0.0;Heures;§5.1.4 bis
2022;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;;;Femme;2.0;Nombre;§5.2.2
2022;EDF SA;France;Pourcentage de l’assiette des rémunérations soumises aux cotisations de sécurité sociale du régime général afférent à la formation continue;;;;7.5;%;§5.1.1
2022;EDF SA;France;Montant consacré à la formation continue - AGRÉÉ CONVENTION;;;;69559.0;K€;§5.1.2
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;B;Femme;1038.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Homme;6617.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;G;Homme;6581.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Heures de formation;;;Femme;576260.0;Heures;§5.1.4
2022;EDF SA;France;Heures de formation;;D;Homme;343812.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;D;Femme;89172.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;Sans plage;Femme;63291.0;Heures;§5.1.4 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;Exécution;;Homme;2606.0;Nombre;§5.1.3
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;B;Femme;1102.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Femme;2882.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;E;Homme;3226.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;G;Homme;6449.0;Nombre;§5.1.3 bis
