Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;;Femme;0.0;nombre;§1.5.1
2023;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;;Homme;0.0;nombre;§1.5.1
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;;Femme;2.0;M€;§2.1.1
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Femme;4279.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Homme;3894.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Femme;3290.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Femme;3708.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Femme;0.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Femme;10215.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Femme;8255.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Homme;6126.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Homme;4891.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Homme;0.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Femme;7410.0;€;§2.1.2.bis
2023;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;;Femme;0.0;nombre;§1.5.1
2023;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;;Homme;1150.0;M€;§2.1.1
2023;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;;Femme;0.0;M€;§2.1.1
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Homme;7842.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Homme;3464.0;€;§2.1.2
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Femme;5331.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Femme;5030.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Femme;3871.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Femme;0.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Homme;10894.0;€;§2.1.2.bis
2023;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Femme;1514.0;€;§2.1.2.bis
2022;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;;Homme;394.0;nombre;§1.5.1
2022;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;;Homme;0.0;nombre;§1.5.1
2022;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;;Homme;1727.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;;Homme;0.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;;Femme;0.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;;Homme;0.0;M€;§2.1.1
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Homme;4521.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Femme;0.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Femme;1454.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Homme;1136.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Femme;7666.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Femme;3571.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Homme;3634.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Homme;1382.0;€;§2.1.2.bis
2022;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;;Femme;152.0;nombre;§1.5.1
2022;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;;Femme;313.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;;Femme;33.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;;Femme;0.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;;Femme;2.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;;Homme;13.0;M€;§2.1.1
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Homme;0.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Homme;8132.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Femme;3044.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Femme;3136.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Femme;6926.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Femme;9107.0;€;§2.1.2.bis
2022;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Exécution vers Maîtrise;;Homme;235.0;nombre;§1.5.1
2022;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;;Femme;0.0;nombre;§1.5.1
2022;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;;Homme;1043.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;;Homme;4.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;;Homme;19.0;M€;§2.1.1
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Homme;7353.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Femme;3913.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Homme;3546.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Femme;3016.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Femme;9390.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Homme;3583.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Femme;3553.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Homme;3322.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Femme;3493.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Homme;1401.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Homme;5676.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Homme;4446.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Homme;11704.0;€;§2.1.2.bis
2022;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Exécution vers Maîtrise;;Femme;104.0;nombre;§1.5.1
2022;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;;Femme;0.0;nombre;§1.5.1
2022;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;;Femme;677.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;;Homme;88.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;;Femme;34.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;;Homme;55.0;M€;§2.1.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;;Femme;8.0;M€;§2.1.1
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Femme;6681.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Homme;11873.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Femme;1190.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Femme;9518.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Homme;6517.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Femme;5968.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Femme;4554.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Femme;4044.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Homme;0.0;€;§2.1.2.bis
2022;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;;Homme;0.0;nombre;§1.5.1
2022;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;;Femme;16.0;M€;§2.1.1
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Homme;10459.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Femme;4965.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Homme;5263.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Homme;4218.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Homme;8284.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Femme;1435.0;€;§2.1.2.bis
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;;Femme;29.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;;Homme;5.0;M€;§2.1.1
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Homme;3335.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Femme;8852.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Femme;3312.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Homme;1351.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Homme;1104.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Femme;1144.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Femme;7258.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Homme;5414.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Femme;3368.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Femme;6426.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Homme;11205.0;€;§2.1.2.bis
