Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Homme;1401.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Homme;5676.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Homme;4446.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Homme;11704.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Femme;6681.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Homme;11873.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Femme;1190.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Femme;9518.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Homme;6517.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Femme;5968.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Femme;4554.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Femme;4044.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Homme;0.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Homme;10459.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Femme;4965.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Homme;5263.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Homme;4218.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Homme;8284.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Femme;1435.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Homme;3335.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Femme;8852.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Femme;3312.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Homme;1351.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Homme;1104.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Femme;1144.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Femme;7258.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Homme;5414.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Femme;3368.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Femme;6426.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Homme;11205.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Femme;1390.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Femme;6303.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Homme;4291.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Femme;3697.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Femme;2829.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Femme;2955.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Femme;1406.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Homme;3437.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Femme;2870.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Femme;8562.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Homme;3450.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Homme;3949.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Homme;3238.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Homme;7763.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Homme;5014.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Femme;4380.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Homme;4226.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Homme;1360.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Homme;6983.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Homme;11371.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Homme;9867.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Femme;9020.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Femme;4722.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Homme;3997.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Homme;7717.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Femme;3500.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Homme;6183.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Femme;5616.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Femme;3824.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Homme;0.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Femme;2986.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Homme;7019.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Homme;4225.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Homme;3357.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Femme;3296.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Femme;4334.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Homme;4165.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Femme;3839.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Homme;10888.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Femme;2797.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Femme;2498.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Homme;1335.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Homme;9937.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Homme;7797.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Femme;7294.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Femme;5606.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Femme;4714.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Homme;4995.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Femme;3345.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Femme;2840.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Homme;3259.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Homme;11036.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Homme;3274.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Femme;1168.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Homme;5455.0;€;§2.1.2.bis
