Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2018;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Maîtrise;Homme;166330.0;heures;§1.8.7
2018;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Maîtrise;Homme;0.0;heures;§1.8.7
2018;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Exécution;Homme;0.0;heures;§1.8.7
2018;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Maîtrise;Femme;204164.0;heures;§1.8.7
2018;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Maîtrise;Femme;58.0;heures;§1.8.7
2018;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Exécution;Femme;0.0;heures;§1.8.7
2017;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Cadre;Homme;381.0;heures;§1.8.7
2017;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Maîtrise;Femme;207339.0;heures;§1.8.7
2017;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Cadre;Femme;1333.0;heures;§1.8.7
2017;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Cadre;Homme;123859.0;heures;§1.8.7
2017;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Exécution;Femme;51307.0;heures;§1.8.7
2017;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Maîtrise;Homme;0.0;heures;§1.8.7
2017;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Exécution;Femme;2.0;heures;§1.8.7
2017;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Cadre;Femme;203271.0;heures;§1.8.7
2017;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Maîtrise;Homme;154913.0;heures;§1.8.7
2017;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Exécution;Homme;20184.0;heures;§1.8.7
2017;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Maîtrise;Femme;37.0;heures;§1.8.7
2017;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Exécution;Homme;0.0;heures;§1.8.7
