Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Sous-catégorie collège;Genre;Plage M3E;Nationalité;Ancienneté;Tranche d'âge;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;Etrangère;;;0.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Femme;;Etrangère;;;93.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Homme;;Etrangère;;;40.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;GF 7 à 9;Homme;;;;;19539.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;Maîtrise;Homme;;;;;11.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Statutaires;Cadre;Cadres Supérieurs;Femme;;;;;165.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Statutaires;Cadre;Cadres;Femme;;;;;9079.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Statutaires;;;Femme;C;;;;3846.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Statutaires;;;Homme;D;;;;5500.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Statutaires;;;Femme;D;;;;2353.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Statutaires;;;Femme;H;;;;1066.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Statutaires;;;Femme;I;;;;0.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Non statutaires CDI;;;Femme;Sans plage;;;;361.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Homme;;;;Moins de 25 ans;870.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Femme;;;;Moins de 25 ans;185.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Homme;;;;Moins de 25 ans;207.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Femme;;;;Moins de 25 ans;30.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Homme;;;;Moins de 25 ans;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Femme;;;;Moins de 25 ans;569.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Homme;;;;De 25 à 35 ans;6030.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Homme;;;;De 25 à 35 ans;1046.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Femme;;;;De 25 à 35 ans;88.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Femme;;;;De 25 à 35 ans;1.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;;Femme;;;;De 25 à 35 ans;39.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Femme;;;;De 25 à 35 ans;147.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Homme;;;;De 36 à 45 ans;694.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Femme;;;;De 36 à 45 ans;4.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Homme;;;;De 46 à 55 ans;4654.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Femme;;;;De 46 à 55 ans;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;;Homme;;;;De 46 à 55 ans;2.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Homme;;;;De 46 à 55 ans;1.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Femme;;;;De 46 à 55 ans;3.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Homme;;;;De 56 à 60 ans;2486.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Femme;;;;De 56 à 60 ans;7.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Femme;;;;61 ans et plus;257.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;;;61 ans et plus;49.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;;Homme;;;;61 ans et plus;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;;Femme;;;;61 ans et plus;1.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Femme;;;;61 ans et plus;16.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;;Moins de 5 ans;;8.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Homme;;;Moins de 5 ans;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Femme;;;De 5 à moins de 10 ans;;1021.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Femme;;;De 5 à moins de 10 ans;;154.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Homme;;;De 5 à moins de 10 ans;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;;De 10 à moins de 15 ans;;37.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Femme;;;De 15 à moins de 20 ans;;812.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Homme;;;De 15 à moins de 20 ans;;1978.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Femme;;;De 15 à moins de 20 ans;;122.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Femme;;;De 15 à moins de 20 ans;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Femme;;;De 20 à moins de 25 ans;;27.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Femme;;;De 20 à moins de 25 ans;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Femme;;;De 25 à moins de 30 ans;;964.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Femme;;;De 25 à moins de 30 ans;;16.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Femme;;;De 30 à moins de 35 ans;;532.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Femme;;;35 ans et plus;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Femme;;Française;;;9046.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Homme;;Française;;;2260.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Femme;;Française;;;2.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Homme;;Etrangère;;;425.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Femme;;Etrangère;;;311.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Femme;;Etrangère;;;0.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Homme;;Etrangère;;;0.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;;Femme;;Etrangère;;;16.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Homme;;Etrangère;;;99.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Statutaires;Cadre;Cadres Dirigeants;Homme;;;;;310.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Statutaires;Exécution;Employés;Homme;;;;;397.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;Employés;Homme;;;;;0.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;Ouvriers;Homme;;;;;1129.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Statutaires;Exécution;Ouvriers;Femme;;;;;119.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;Cadres Dirigeants;Femme;;;;;24.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;Maîtrise;Femme;;;;;22.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;Cadres Dirigeants;Femme;;;;;0.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;Employés;Femme;;;;;363.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;Ouvriers;Femme;;;;;324.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Statutaires;;;Homme;B;;;;3633.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Statutaires;;;Homme;C;;;;8280.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Statutaires;;;Femme;Sans plage;;;;1462.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Non statutaires CDI;;;Homme;Sans plage;;;;510.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Non statutaires CDD;;;Homme;Sans plage;;;;2565.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Non statutaires CDD;;;Femme;Sans plage;;;;1645.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Homme;;;;Moins de 25 ans;332.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Femme;;;;Moins de 25 ans;138.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Homme;;;;Moins de 25 ans;936.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Femme;;;;De 25 à 35 ans;294.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;;;De 25 à 35 ans;119.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Homme;;;;De 36 à 45 ans;6514.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Femme;;;;De 36 à 45 ans;487.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Homme;;;;De 36 à 45 ans;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;;Homme;;;;De 36 à 45 ans;3.0;nombre;§1.1.6
